,Index Levels
2023-09-28,112.78562072445119
2023-09-29,112.85021997692196
2023-10-02,113.11156071853813
2023-10-03,112.27713916578163
2023-10-04,112.51837260359542
2023-10-05,112.77255455555284
2023-10-06,113.23026436228828
2023-10-09,113.82531414580097
2023-10-10,114.18754620581336
2023-10-11,114.91175316023147
2023-10-12,114.66977075349088
2023-10-13,114.44762913571842
2023-10-16,115.00697900160685
2023-10-17,115.16976466796592
2023-10-18,113.88423871710194
2023-10-19,113.19879532120297
2023-10-20,113.19694241288109
2023-10-23,113.5353966448396
2023-10-24,113.66882659177864
2023-10-25,112.89056945026867
2023-10-26,112.48477495844176
2023-10-27,112.4813907504607
2023-10-30,112.73189359168835
2023-10-31,112.94395328568731
2023-11-01,113.2253666322861
2023-11-02,113.40605017906084
2023-11-03,113.57976419928649
2023-11-06,114.18719525229135
2023-11-07,114.8441322182079
2023-11-08,115.05765186922139
2023-11-09,114.84840246575253
2023-11-10,114.703378873811
2023-11-13,115.44768475648333
2023-11-14,114.88691770270475
2023-11-15,115.17124604435875
2023-11-16,115.41034733422968
2023-11-17,115.64244512199556
2023-11-20,115.67905403850692
2023-11-21,115.85214729452962
2023-11-22,115.8031312539478
2023-11-24,116.0623981498382
2023-11-27,116.4933470392468
2023-11-28,116.65596905342247
2023-11-29,116.80075364196183
2023-11-30,116.987545036724
2023-12-01,116.8587384953872
2023-12-04,117.59258100455943
2023-12-05,117.71916111226334
2023-12-06,117.99941483754674
2023-12-07,117.8642605131206
2023-12-08,117.99444142461519
2023-12-11,118.0110986800493
2023-12-12,117.88749164572916
2023-12-13,116.999641272249
2023-12-14,116.99808368446253
2023-12-15,117.34630031106465
2023-12-18,117.42813015989668
2023-12-19,117.34340563885792
2023-12-20,116.94364756248977
2023-12-21,116.63656518524692
2023-12-22,116.82923036372118
2023-12-26,117.13474681768156
2023-12-27,117.16330227289903
2023-12-28,117.62810288160236
2023-12-29,117.66422319381805
2024-01-02,117.8021518157435
2024-01-03,117.77705116375797
2024-01-04,117.94325293053323
2024-01-05,117.96855326909112
2024-01-08,117.22619255772628
2024-01-09,117.32249826563452
2024-01-10,117.17088018826308
2024-01-11,117.24168030299964
2024-01-12,117.29062238067088
2024-01-16,117.5976233511311
2024-01-17,117.76275444587705
2024-01-18,117.39777867757402
2024-01-19,118.03462699177062
2024-01-22,118.24091764978859
2024-01-23,118.27098175697458
2024-01-24,118.31580756631038
2024-01-25,118.17517136344027
2024-01-26,118.26101092645484
2024-01-29,118.29559303143134
2024-01-30,118.36557834019705
2024-01-31,118.07711566350949
2024-02-01,117.28688752334405
2024-02-02,116.7196458401998
2024-02-05,117.43280015967409
2024-02-06,117.52004971607145
2024-02-07,117.11036245214058
2024-02-08,117.15987821042083
2024-02-09,116.9344575426916
2024-02-12,117.13058293259375
2024-02-13,117.17533077597888
2024-02-14,116.66162835929428
2024-02-15,116.56510687778194
2024-02-16,116.27940822390758
2024-02-20,116.61167390030447
2024-02-21,116.92162701382021
2024-02-22,115.2854902213468
2024-02-23,115.3741617901631
